Continent,Code,Significance_decline,Long,Lat,Bio1_MeanAnnTemp,Bio2_MeanDiurRange,Bio3_Isotherm,Bio4_TempSeasonality,Bio5_MaxTempWarmestM,Bio6_MinTempColdestM,Bio7_TempAnnRange,Bio8_MeanTempWettestQ,Bio9_MeanTempDriestQ,Bio10_MeanTempWarmestQ,Bio11_MeanTempColdestQ,Bio12_AnnPrecip,Bio13_PrecWettestM,Bio14_PrecDriestM,Bio15_PrecSeasonal,Bio16_PrecWettestQ,Bio17_PrecDriestQ,Bio18_PrecWarmestQ,Bio19_PrecColdestQ,Human_density_2000,Aquaculture_index,MEAN_Anomalies_1975_2005,BO2_tempmax_ss,BO2_templtmax_ss,Mean_3Mnth_SST
EUROPE,ABH,Significant,-6.83170373,58.00048681,7.806666615,5.076666668,35.88257515,340.9317928,15.06799984,0.920000017,14.14799982,6.31066676,8.613999804,12.14799992,4.036000023,1539,176,75,29.71910391,519,244,347,455,20.11764706,0.002673984,132.9677419,14.20972157,13.83199501,11.98666668
EUROPE,ALN,Significant,-1.817891,55.412517,8.219500003,7.145666723,38.60018591,422.7943453,17.38400078,-1.128000021,18.5120008,4.223333438,9.377333323,13.65066687,3.447333376,755,75,53,13.28321839,219,165,184,197,94.39130435,0.001216831,140,15.00092602,14.26211929,10.67000008
EUROPE,Alta,NoChange,23.37,69.97,0.94333331,6.703333532,22.91999062,828.8792849,16.7266674,-12.52000046,29.24666786,10.84333348,-0.546666652,11.82555572,-8.594444593,415,49,22,24.97733463,134,71,125,101,39,0.002490102,137.6774194,11.61927986,10.8184042,0.039999962
EUROPE,Arda,NoChange,6.17,59.14,6.6865,6.877666538,31.57790001,557.8917809,17.11199951,-4.668000221,21.77999973,3.872666766,9.113333126,13.7246666,0.155999978,2137,271,90,35.31422971,768,293,411,658,38.69565217,0.003327567,136.1290323,16.93862724,16.33808136,12.41333357
EUROPE,Aroy,NoChange,7.17,61.27,4.590499957,5.86166661,28.30629077,538.7546002,14.79599953,-5.912000179,20.70799971,-0.561333338,6.978666703,11.59066653,-1.500666688,1238,156,45,36.56678672,433,163,230,402,23.65,0.004314392,140.7419355,16.04995346,15.11524963,12.09666634
EUROPE,Aurs,NoChange,11.39,64.37,5.297999976,4.921999966,22.36459513,641.366738,16.61199951,-5.395999908,22.00799942,5.394666553,8.19266665,13.62999996,-2.016000003,1261,143,64,25.39754239,399,220,277,363,51.95454545,0.00443186,129,15.00899887,13.83613777,10.89333312
EUROPE,AWE,Significant,-5.21816,56.43677,8.811574121,5.251851916,32.97291006,402.7468592,17.23333359,1.305555582,15.92777801,4.714814881,10.2722222,13.9083333,4.167592645,1464,166,70,30.15213091,490,227,282,436,38.45454545,0.00212817,137.9032258,13.85589886,13.60433769,10.56333319
EUROPE,AYR,NoChange,-4.17277,55.44979,8.000333412,6.688666773,39.26195389,394.8556391,16.25200081,-0.783999979,17.03600079,4.274666737,9.345999956,13.03266676,3.555333356,1582,182,82,31.28081977,539,251,282,483,87.44,0.001277329,138.6451613,15.41501808,14.98166466,12.39333312
EUROPE,BEA,NoChange,-4.86204784,57.40427009,6.482166668,7.062333306,40.68164315,401.6394425,15.15600014,-2.203999996,17.36000013,2.617333333,7.922666748,11.64866662,1.958666692,2394,291,113,34.45730763,845,355,401,766,24.08,0.001596591,137.9032258,14.81445885,14.20895672,11.84666697
EUROPE,Beia,NoChange,14.58,67.03,3.105500018,5.912999878,24.23360644,681.4681625,15.15999985,-9.239999771,24.39999962,3.530666769,6.140666564,11.80333328,-4.894666612,1243,156,67,27.86053345,410,207,271,341,36.58333333,0.002947034,138.2580645,13.72999382,12.66124344,5.946666559
EUROPE,BLW,Significant,-7.84,51.94,10.21025643,6.284615338,38.86774546,372.2503682,18.40769196,2.238461494,16.16923046,6.820512931,11.24743589,15.02948697,6.078205188,1235,138,70,24.88664589,394,215,242,393,81.5,0.000745035,135,17.22139931,16.11804771,13.01666705
EUROPE,Bors,NoChange,25.52,70.31,1.140579658,6.44927527,23.89389996,747.1502873,15.53478241,-11.45652199,26.9913044,6.3326086,-0.615217368,10.97318832,-7.119565328,520,60,30,23.00979711,169,93,147,120,1,0.001443665,124.9032258,11.28952694,10.0624609,0.079999924
EUROPE,CAR,NoChange,-4.51,43.39,13.92019234,7.273717999,42.06331544,364.0570979,23.03076935,5.738461494,17.29230785,12.58205144,18.25769218,18.72692299,9.864102681,857,101,43,27.89561231,284,133,147,250,73.2,0.000458018,140.6129032,21.64941216,21.13747215,16.95666695
EUROPE,CARN,Significant,-5.497,56.687,7.513999991,5.848000025,35.95671358,393.6515078,15.64000034,-0.624000013,16.26400036,3.668000072,9.167333325,12.52199999,3.05400007,2397,289,110,33.42996845,838,354,419,749,17.55,0.003014564,137.9032258,14.05770874,13.86742783,11.1766669
EUROPE,CARR,Significant,-4.44941,57.88607,7.821666675,6.518000051,39.16126188,389.5094551,16.03999901,-0.604000032,16.64399904,5.802000006,9.093333364,12.73799992,3.288000057,1551,173,82,25.98869245,501,262,309,444,37.6,0.001669986,137.9032258,14.84722996,14.15628242,11.72333304
EUROPE,CON,Significant,-4.850827994,57.54411311,7.17300002,6.786000009,40.20142187,391.7135951,15.44799995,-1.432000041,16.88,3.354666671,8.587333361,12.16066678,2.724666715,2398,283,112,33.21225505,834,361,412,755,22.32,0.001587846,137.9032258,14.72499943,14.15466976,11.65666676
EUROPE,COQ,Significant,-1.955742,55.317621,8.11850004,7.392333416,39.53119287,420.2941858,17.30400085,-1.396000028,18.70000088,4.136666725,9.289333463,13.51533349,3.379999985,841,84,57,14.67465262,249,176,197,226,96.56,0.00120655,140,15.1103096,14.33918953,10.73000018
EUROPE,Dals,NoChange,5.4,61.36,6.51628793,5.781818137,29.24137806,528.1310703,16.80909157,-2.963636398,19.77272797,3.561363568,8.640909155,13.45909119,0.670454522,3204,392,134,36.40863652,1119,446,548,1010,57.55,0.004477375,138,16.10027504,15.07660866,12.50333341
EUROPE,DAR,Significant,-3.63,50.4,10.53333329,6.657638888,38.74474444,396.01717,19.20000076,2.016666651,17.18333411,7.029166619,13.95277747,15.61041673,6.172916532,948,115,47,28.62869666,325,162,186,318,136.6153846,0.000668213,141.2580645,17.02744675,16.4295311,13.29333337
EUROPE,DEE,Significant,-2.56118,57.0605,8.049999918,7.459999869,40.45553323,414.3938207,17.19999886,-1.24000001,18.43999887,5.9086667,4.90866674,13.38733292,3.34466671,737,79,48,16.96172226,218,153,171,193,87.88,0.00156122,139.1290323,13.75043583,13.29143238,10.25999991
EUROPE,DEV,Significant,-3.025431169,57.29002822,6.415333299,6.784666562,38.9207594,394.6767476,15.07199955,-2.359999895,17.43199944,2.913333264,10.11599998,11.64666677,2.177333362,1083,123,68,22.0227872,339,207,219,311,45.64,0.001725582,139.1290323,14.90506935,14.27772617,11.81666692
